Name,Price
"Lenovo 81JW0001US Chromebook S330, 14"" HD Display, Mediatek MT8173C CPU 4GB RAM, 32GB eMMC SSD, Chrome OS, Black",239
"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",336
"HP 15.6"" Laptop, Intel Celeron N4000, 4GB RAM, 500GB Hard Drive, DVD-Writer, Windows 10, Jet Black, 15-bs212wm",406
"HP 14 Laptop, Intel Core i3-1005G1, 4GB SDRAM, 128GB SSD, Pale Gold, 14-dq1038wm",459
"HP Stream 14"" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",419
"HP 15.6"" HD Laptop, Intel Core i3-8145U, 8GB SDRAM, 1TB HDD, Ghost Silver, 15-dw0037wm",514
"Lenovo Ideapad 130s 14.0"" Laptop, Intel Celeron N4000 Dual-Core Processor, 4GB Memory, 64GB Storage, Office 365 1 Year Subscription, Windows 10, Mineral Grey",249
"Acer Chromebook 14, Intel Atom x5-E8000 Quad-Core Processor, 14"" HD, 4GB LPDDR3, 32GB eMMC, Protective Sleeve, CB3-431-12K1",219
"Lenovo ideapad S145 15.6"" Laptop, Intel Celeron 4205U Dual-Core Processor, 4GB Memory, 128GB Solid State Drive, Windows 10 - Dark Orchid - 81MV00MAUS",399
"HP 15.6"" Laptop, Intel Core i7, 8GB RAM, 256GB SSD+16GB Optane, Carbon Slate",589
"Lenovo ideapad S340 15.6"" Laptop, Intel Core i5-8265U Quad-Core Processor, 8GB Memory, 128GB Solid State Drive, Windows 10 - Dark Orchid - 81N800SLUS",449
"Lenovo Ideapad 330s 15.6"" Laptop, Windows 10, AMD Ryzen 5 2500U Quad-Core Processor, 8GB Memory, 256GB Storage, Platinum Grey - 81FB00HKUS",449
"HP Chromebook 14, 14"" Full HD Display, AMD A4-9120C, AMD Radeon R4 Graphics, 4 GB SDRM, 32GB eMMC, Audio by B&O, Ink Blue, 14-db0043wm",239
"EVOO 14.1"" Ultra Thin Laptop - Elite Series, Intel Celeron CPU, 4GB Memory, 32GB, Windows 10 S, Windows Hello (Fingerprint Scanner)",219
"Lenovo ideapad 320 15.6"" Laptop, Windows 10, Intel Celeron N3350 Dual-Core Processor, 4GB RAM, 1TB Hard Drive",549
"Lenovo ideapad 330 15.6"" Laptop, Windows 10, Intel Core i3-8130U Dual-Core Processor, 4GB RAM, 1TB Hard Drive - Onyx Black",459
"Refurbished Samsung XE500C13-K04US Chromebook 3 11.6"" 1.6 GHz 4GB RAM 16GB eMMC",184
